Node (960): (169, 0) = (id, weight)
Node (960): (170, 0) = (id, weight)
Node (960): (171, 0) = (id, weight)
Node (960): (172, 0) = (id, weight)
Node (960): (173, 0) = (id, weight)
Node (960): (174, 0) = (id, weight)
Node (960): (175, 0) = (id, weight)
Node (960): (176, 0) = (id, weight)
Node (960): (177, 0) = (id, weight)
Node (960): (178, 0) = (id, weight)
Node (960): (179, 0) = (id, weight)
Node (960): (180, 0) = (id, weight)
Node (960): (181, 0) = (id, weight)
Node (960): (182, 0) = (id, weight)
Node (960): (183, 0) = (id, weight)
Node (960): (184, 0) = (id, weight)
Node (960): (185, 0) = (id, weight)
Node (960): (186, 0) = (id, weight)
Node (960): (187, 0) = (id, weight)
Node (960): (188, 0) = (id, weight)
Node (960): (189, 0) = (id, weight)
Node (960): (190, 0) = (id, weight)
Node (960): (191, 0) = (id, weight)
Node (960): (192, 0) = (id, weight)
Node (960): (193, 0) = (id, weight)
Node (960): (194, 0) = (id, weight)
Node (960): (195, 0) = (id, weight)
Node (960): (196, 0) = (id, weight)
Node (960): (197, 0) = (id, weight)
Node (960): (198, 0) = (id, weight)
Node (960): (199, 0) = (id, weight)
Node (960): (200, 0) = (id, weight)
Node (960): (201, 0) = (id, weight)
Node (960): (202, 0) = (id, weight)
Node (960): (203, 0) = (id, weight)
Node (960): (204, 0) = (id, weight)
Node (960): (205, 0) = (id, weight)
Node (960): (206, 2) = (id, weight)
Node (960): (207, 0) = (id, weight)
Node (960): (208, 0) = (id, weight)
Node (960): (209, 0) = (id, weight)
Node (960): (210, 0) = (id, weight)
Node (960): (211, 0) = (id, weight)
Node (960): (212, 0) = (id, weight)
Node (960): (213, 0) = (id, weight)
Node (960): (214, 0) = (id, weight)
Node (960): (215, 0) = (id, weight)
Node (960): (216, 0) = (id, weight)
Node (960): (217, 0) = (id, weight)
Node (960): (218, 0) = (id, weight)
Node (960): (219, 0) = (id, weight)
Node (960): (220, 0) = (id, weight)
Node (960): (221, 0) = (id, weight)
Node (960): (222, 0) = (id, weight)
Node (960): (223, 0) = (id, weight)
Node (960): (224, 0) = (id, weight)
Node (960): (225, 0) = (id, weight)
Node (960): (226, 0) = (id, weight)
Node (960): (227, 0) = (id, weight)
Node (960): (228, 0) = (id, weight)
Node (960): (229, 0) = (id, weight)
Node (960): (230, 0) = (id, weight)
Node (960): (231, 0) = (id, weight)
Node (960): (232, 0) = (id, weight)
Node (960): (233, 0) = (id, weight)
Node (960): (234, 0) = (id, weight)
Node (960): (235, 0) = (id, weight)
Node (960): (236, 0) = (id, weight)
Node (960): (237, 0) = (id, weight)
Node (960): (238, 0) = (id, weight)
Node (960): (239, 0) = (id, weight)
Node (960): (240, 0) = (id, weight)
Node (960): (241, 0) = (id, weight)
Node (960): (242, 0) = (id, weight)
Node (960): (243, 0) = (id, weight)
Node (960): (244, 0) = (id, weight)
Node (960): (245, 0) = (id, weight)
Node (960): (246, 0) = (id, weight)
Node (960): (247, 0) = (id, weight)
Node (960): (248, 0) = (id, weight)
Node (960): (249, 0) = (id, weight)
Node (960): (250, 0) = (id, weight)
Node (960): (251, 0) = (id, weight)
Node (960): (252, 0) = (id, weight)
Node (960): (253, 0) = (id, weight)
Node (960): (254, 0) = (id, weight)
Node (960): (255, 0) = (id, weight)
Node (960): (256, 0) = (id, weight)
Node (960): (257, 0) = (id, weight)
Node (960): (258, 0) = (id, weight)
Node (960): (259, 0) = (id, weight)
Node (960): (260, 0) = (id, weight)
Node (960): (261, 0) = (id, weight)
Node (960): (262, 0) = (id, weight)
Node (960): (263, 0) = (id, weight)
Node (960): (264, 0) = (id, weight)
Node (960): (265, 0) = (id, weight)
Node (960): (266, 0) = (id, weight)
Node (960): (267, 0) = (id, weight)
Node (960): (268, 0) = (id, weight)
Node (960): (269, 0) = (id, weight)
Node (960): (270, 0) = (id, weight)
Node (960): (271, 0) = (id, weight)
Node (960): (272, 0) = (id, weight)
Node (960): (273, 0) = (id, weight)
Node (960): (274, 0) = (id, weight)
Node (960): (275, 0) = (id, weight)
Node (960): (276, 0) = (id, weight)
Node (960): (277, 0) = (id, weight)
Node (960): (278, 0) = (id, weight)
Node (960): (279, 0) = (id, weight)
Node (960): (280, 0) = (id, weight)
Node (960): (281, 0) = (id, weight)
Node (960): (282, 0) = (id, weight)
Node (960): (283, 0) = (id, weight)
Node (960): (284, 0) = (id, weight)
Node (960): (285, 0) = (id, weight)
Node (960): (286, 0) = (id, weight)
Node (960): (287, 0) = (id, weight)
Node (960): (288, 0) = (id, weight)
Node (960): (289, 0) = (id, weight)
Node (960): (290, 0) = (id, weight)
Node (960): (291, 0) = (id, weight)
Node (960): (292, 0) = (id, weight)
Node (960): (293, 0) = (id, weight)
Node (960): (294, 0) = (id, weight)
Node (960): (295, 0) = (id, weight)
Node (960): (296, 0) = (id, weight)
Node (960): (297, 0) = (id, weight)
Node (960): (298, 0) = (id, weight)
Node (960): (299, 0) = (id, weight)
Node (960): (300, 0) = (id, weight)
Node (960): (301, 0) = (id, weight)
Node (960): (302, 0) = (id, weight)
Node (960): (303, 0) = (id, weight)
Node (960): (304, 0) = (id, weight)
Node (960): (305, 0) = (id, weight)
Node (960): (306, 0) = (id, weight)
Node (960): (307, 0) = (id, weight)
Node (960): (308, 0) = (id, weight)
Node (960): (309, 0) = (id, weight)
Node (960): (310, 0) = (id, weight)
Node (960): (311, 0) = (id, weight)
Node (960): (312, 0) = (id, weight)
Node (960): (313, 0) = (id, weight)
Node (960): (314, 0) = (id, weight)
Node (960): (315, 0) = (id, weight)
Node (960): (316, 0) = (id, weight)
Node (960): (317, 0) = (id, weight)
Node (960): (318, 0) = (id, weight)
Node (960): (319, 0) = (id, weight)
Node (960): (320, 0) = (id, weight)
Node (960): (321, 0) = (id, weight)
Node (960): (322, 0) = (id, weight)
Node (960): (323, 0) = (id, weight)
